,username,rating,value,boardgame_id
1437,Endbringer,N/A,Teen Titans.....GO!,2223
1438,Ender Wiggin,5.5,Lots of love for Uno since I'm a Phish fan.  At concerts (YEARS ago) it used to be a thing to bring a deck of Uno cards and hand out single cards to random people.  Then those people could take however many Uno cards they've accumulated and play a mini version of the game with anyone else who had collected the cards - that never really went very well but having them as keepsakes for various concerts was always cool.  And the guys that used to write little notes or drawings on the cards were always the coolest.,2223
1439,Ender667,5,It's uno.  Everyone knows uno.,2223
1440,EndersGame,5.5,"A classic.  Basically a commercial variation of [gameid=11017].  Okay for younger kids just learning games, numbers and colours though.",2223
1441,endrens,6,Quite Meh but good to play with everyone. Staple at my house haha,2223
1442,enemyoftheworld,2,"The only decisions to make are when to time your ""take that"" cards. Fun for kids, but nothing going on there.",2223
1443,englerp,8,Part of Mattel Games FFK01 - Classic Card Games in a Metal Tin,2223
1444,Engoduun,4,"Was fun, back then. But it's time to move onwards to more interesting games.",2223
1445,enigmakairos,8,A classic. I spent an entire summer playing uno. ,2223
1446,Enola047,8.2,"Clásico, de toda la vida, lo compras en el supermercado junto con los pantys y los chicles... Se juega en la playa, en el metro, con niños... Totalmente atemporal!",2223
1447,entranced,6,"Enjoyed when i was a kid/teen, haven't tried it since.",2223
1448,Entropology,2,I play a LOT of Uno.  It's the platonic ideal of a kids game and they love it.  I spend most of that time thinking about how many versions of Uno have been released over the years and what the total time spent by parents during that span is.,2223
1449,epicgamer,3,Fun game for kids.,2223
1450,epilgrim,4,"it seemed like everyone loved this at first, maybe it was the solid bright colors? it sure as shit wasn't the gameplay.",2223
1451,EPittelTroy20,7,"7/10 a classic, love this game, even now. fun to play with family and it can be short so you can play multiple games in one sitting",2223
1452,Epochend,4,"Pretty much just blind luck with a little bit of take-that thrown in. It's ok as a mindless way to pass some time, but there are so many better party/card games out there.",2223
1453,EquinoxOmega,6,"A classic card game, easy to learn, fast to play, fun once in a while.",2223
1454,Ercsi01,N/A,2 van belőle,2223
1455,Erdbeere256,7,Kartenspiel Klassiker,2223
1456,ergophone,4,Good simple gaming showing its age,2223
1457,Eric Brosius,4,This is better with the variant that allows you to play a card that exactly matches the top card in the discard pile even if it isn't your turn.,2223
1458,Eric Ridley,5.5,"I also own a version of this on Xbox live arcade. *update, not anymore, my xbox packed up*. Good game and plenty of fun for all the family.",2223
1459,ericaamcdaniel,N/A,New York Mets special edition,2223
1460,ericbjohnson,7,Family: Love it or hate it... we find this is the game we go to when the WHOLE family is in town... from great grandma (97) to the little 2 year old (sort of)...,2223
1461,ericlosiewicz,5,"Lots of plays as a kid.  This is a standard bearer of a game that I use all the time to compare other card games to.  currently prefer Exploding Kittens over this for the mechanics, because it is similar in play style, but with Exploding Kittens you at least know at some point the game will end with only one person standing unexploded. Uno on the other hand can just keep going and going indefinitely.",2223
1462,erikjemeijers,6,-,2223
1463,erik_ike,6, 2–10 Players,2223
1464,Erik_Wudtke,6,ungesleevt,2223
1465,ErisKTroy22,7,I like Uno because it is a fun yet simple game. I like how they have special cards like skip turn and +4. One thing that i dont like about the game however is that it gets boring after playing it more than an hour a day.,2223
1466,Erniepaul,4,"I remember playing this when I was a kid.  Sometimes with the family, or sometimes when our family had dinner with another.  We might have seven or eight people playing.  It could be a bit chaotic with all the reverses, color changes, wild cards and the ever dreaded, 'Draw 4'.  But it was always a good crowd pleaser.    ",2223
1467,ERPriest,5,"We played this tons when our kids were younger.  This game is hard to rate:  it is so simple and mindless that anyone can play it, and it is therefore a good social game for all.  But there is really not much game here.  For its appeal I give it a generous 5.",2223
1468,Erreka,6.92,Vera,2223
1469,ervandarnell,4,There are better card games.,2223
1470,Eryops,6.5,Enjoyable family game.,2223
1471,erzengel,N/A,"Beeing the first time in Shanghai, China, found this ""iorz"" and couldn't resist, must buy... ;-)  Picture will follow.",2223
1472,esegurac94,3,"La verdad a mí me saca muchas risas pero sólo para eso sirve, molestar y reír. ",2223
1473,ESO333,N/A,Ghostbusters (2016) Edition,2223
1474,esparver73,4,This game is so silly that it's fun to play. Anyone can play it and have a good time with it. ,2223
1475,espen,2,"Based on a few plays. > In my book this is not a game, it's just a way to kill some time.  Updated 3->2 in 2011 after too many plays. I'd gladly pass if someone suggests this game.  Since 2007, updated Dec 2011",2223
1476,esphill98,6,"Simple card game with a fair amount of ""take that""",2223
1477,Espo66,7,a seven for all the fond memories playing with my kids. Probably would be a 5 for an actual rating.,2223
1478,espoon82,6.1,"Not a favorite of mine, for sure, but it is really small and everyone knows how to play it, so I keep it around. ",2223
1479,EspritDeCorps,N/A,x4 (one 50-Year Toys-R-Us edition),2223
1480,esswedl,3,Standard edition; Simpsons edition. You can't control what people put in your Christmas stocking (without being rude).,2223
1481,Estragon,5,Won't mind playing.,2223
1482,EternalFury,1,This is not a game. I can't stand how so many people seem to want to play this at get-togethers...,2223
1483,Ethin,4,graczy: 2-10 czas: 30  - losowa,2223
1484,etiQQue,7,"me: 4, gf: 10",2223
1485,Eugenhuber,N/A,"Fabio Braille, Suhejb",2223
1486,Eugeniosaracino,3,Esp) Malo malo malo,2223
1487,eunnyya,5,"애가 룰 이해는 하는데 매우 짜증내고,일부러 에러플을 해대서 도무지 게임 진행이 안된다.. 솔플하기도 웃기고;; 이래저래 난감",2223
1488,eurogmr,5,Great game for getting kids interested in card games.  Teens will want something more challenging.,2223
1489,evanvariano,8,Widespread knowledge helps me teach Dominoes. Only draw one when you can't play. It opens up some tactics.,2223
1490,evarina,5,"5 when playing with my kids, otherhwise 4 or even 3.",2223
1491,Eveline1980,N/A,Uno,2223
1492,everydaybear,5,Switch,2223
1493,Evilatheist,6,OK time killer has that one more game feeling but not really that special,2223
1494,EvilCheesypoof,6,"It's a classic, it doesn't have to overstay its welcome (you can play to whatever score or however many rounds), it's light and simple.  There's much better card games like Scout, Bohnanza, and Skull King, but this is one people know and still have fun with.",2223
1495,evillint,6.25,This is just good old-timey fun...,2223
1496,EvilPolBro,7,"Have ""The Office"" edition as well.",2223
1497,Evil_Empire_Inc,N/A,Bite-Sized 2x deluxe,2223
1498,evrmln,8,"versie liggen, nikeer weggeven",2223
1499,exarus,3,Played in childhood,2223
1500,ExGames,4,"Glorified '8' card game.  Good, great with family and easy to play with kids.  But nothing special. Nothing you cannot play with a couple normal set of card.",2223
1501,existen,8,RU,2223
1502,expander,7,i play it anytime! it has many editions!,2223
1503,eXtrem,N/A,Owned,2223
1504,Eyehorus,N/A,X2-Standard version and 2022 FAO Schwarz version,2223
1505,EyesOfHusky,5,50th Anniversary Edition (2021),2223
1506,e_vandyck,5,"I prefer Mao! It’s basically Uno except it’s played with regular playing cards,  games are short, and a player adds a new rule every round. If anyone breaks a rule, then they draw a card! Also, no talking is allowed.",2223
1507,f1shm00,5.5,Very light. Barely any strategy and can go on for too long.,2223
1508,fabericus,4,Tis' ??? 1999 >10x games.,2223
1509,fabiofleming,5,Uno !,2223
1510,Fabulous Father,7.5,Girls love this game - reminds me of my childhood growing up and playing with my sister and her friends. Solid simple game that anchors gamers of all ages and ability to pursue their love for the game. New ghostbuster version is a blast...we have (4) girls who love the movie.,2223
1511,faceplant247,6,Old school party game for all ages. ,2223
1512,factorialite,7,Uno gets a bad rap sometimes. It's actually quite a useful game.,2223
1513,facunicora,6,3,2223
1514,Faerun,5.5,"Thrift find: €1,75",2223
1515,fake,4,n,2223
1516,falcala,4,"Fun family game. Nice cards, but too much luck involved.",2223
1517,Faldum,5,"Great memories of this one with my family, and like all well-known games gets points for familiarity among potential gaming-partners. But I guess I'd rather play something simple and clever like ""No Thanks!"", which is as easy to understand but more amusing to me.",2223
1518,Falwakeeltroy21,8,Uno is a game that you can not go wrong with. where ever I am everyone is willing to play. the game is based on luck so sometimes I do not like it but it is super fun and always will be one of my top games.,2223
1519,FamilyGamerz,7,#Card,2223
1520,familynight,4.5,"It's UNO.  The calling ""UNO"" rule is a bit absurd.  It's also oddly long.",2223
1521,familywontplay,3,"Generally speaking, don't appreciate rummy games, and this one is especially dull & boring.",2223
1522,FannyFrance,4,[KIDS GAME] ,2223
1523,Fantasy_Punk,4,Decent filler. To be played only with non-gamers.,2223
1524,fantom_RU,N/A,"4p, 5p, 6p 2и, 3и, 7и, 8и 9, 10",2223
1525,faqtotum,6,Everybody knows it.  Almost everybody plays it.,2223
1526,Far0a,3,5.18.21 Ranking: 53,2223
1527,fargow,6,Perdido na viraventos,2223
1528,fargus9,7,Fun filler.  A classic family favorite from my childhood. ,2223
1529,fastattaq,2,Sold on consignment,2223
1530,FastTadpole,N/A,2 - 8 Players Best 4-6,2223
1531,Fat Tony,5,"I don't mind it, but there are so many better card games out there.",2223
1532,fateswanderer,2,"I have good memories of playing this game with friends and family, but it's barely a game.  The variance in the game and chaos among the players means that decisions barely matter. In 3p you can try to hold the leader back, in 2p you can create chains of attacks, but only if the cards let you.",2223
1533,fatgreta,5,"I do therapy with kids, so I play it a lot. That doesn't mean I like it much. Playing with sets isn't as bad.",2223
1534,Fawkes,2,"Kid's game in the same category as Candyland, Snakes and Ladders and the like. What? Adults play this game too? That's when the rating is a ""2"". Why play this when you can play High Society or anything a little more intelligent?",2223
1535,fayemin,2,At least it's not as painful (or as long) as Phase 10.   Sad how quickly you lose respect for people when they suggest you play either of these games (or tell you how much they love them),2223
1536,fbarrera,6,Niñas,2223
1537,fbinder,6,"Used to be my wife´s favorite. I loved it too, but it lost its shine after a dozens plays.",2223
1538,fcon82,6,Classic. Introductory for kids.,2223
1539,FCTabletopClub,N/A,Donation by Don Good 2019,2223
1540,fcvasi,9,Too many plays to count through the  years!,2223
1541,fdny2001,6.5,Family,2223
1542,fearoffours,7,"Gets a lot of play in our house, and especially good as younger players play on an equal setting. Just lacks a bit of depth for anything other than a quick family filler!",2223
1543,Fedelis,3,"Fun, simple, and classic. Not much too it. I'd okay it if there was nothing else to play, but I could usually do more with a deck of cards.",2223
1544,feemiki,6,Classics,2223
1545,fehrmeister,2.5,Pretty much 100% luck; strictly a good kids' game,2223
1546,feign,N/A,"Adam, Nick, Lewis and I, with shared winnings and a newly learnt game, good enough for me!",2223
1547,Feirhee,9,Another classic that is what it is.,2223
1548,FelicityPrice,N/A,We have the Jurassic Park version,2223
1549,felipechadid,N/A,Spanish version (Cheetos),2223
1550,Felipecry77,6,"Classic and simple party game, like it",2223
1551,Fellonius,6,Don't get around much anymore.,2223
1552,FellowsBrokenknee,5,"The usual quick family/party game. It's like crazy eights, but with special cards rather than playing cards.",2223
1553,Fenriz,3.5,"Random as hell, but kind of entertaining.  I'm kind of embarrassed to rate this game any higher than a 1, but I've had some fun playing it at times.  Almost pure luck.",2223
1554,Fergy,8,Currently my 5 year old daughter's favorite game (out of the 100+ we own),2223
1555,ferox83,5,"Fun with the right crowd. I wouldn't mind playing at most once a year, but that's it.",2223
1556,FestusJones,N/A,Disney Star Wars Jurassic World Mario Kart,2223
1557,FezAZ,5,My non-gaming friends love this game.,2223
1558,fformighieri,4,"Can Can, jogo de cartas bem chato.",2223
1559,fibroptx,4.5,"My 5 yr old's favorite variant: everyone starts with a wild Draw 4 (and one of each other ""bad"" card. Adds a somewhat interesting twist.",2223
1560,fiddly_bits,N/A,Came in a stack of card games at a Yankee Swap IIRC.  I don't think my edition is multilingual.,2223
1561,Fifus,5,1xB + 1xP - normal 1xP - Aqua-Edition,2223
1562,FightingPaladin,4,"Одна из самых тупых игр ever, но если ничё нет, то поиграть можно + удобно в поездке, но геймплей помойка",2223
1563,fillac,N/A,Bm. UNO,2223
1564,Fillard,4,I wonder whether more people have heard of UNO than of crazy eights (the game on which UNO is based). That's kind of sad. I guess it dates me.,2223
1565,Finite,7,"I can't believe how underrated this game is! I've played hundreds of games with family and friends. Play to 500 and usually it is the best player to win unless some really unlucky happens (which is fun also). Not so many strategic choices if you are already good at playing this, but it happens too. It even has that up yours -factor when dishing out +4, without really destroying anyones game in the process. I think this game is perfect for a cardgame of its level of complexity. Not for serious gaming, though!",2223
1566,Firearchitect,6,Played countless times,2223
1567,firebound12,2,Forgot how bad this can be,2223
1568,Firefighter1210,6,My kids will play this until the cards wear out!,2223
1569,Firepigeon,3.4,"Another one that my kid is starting on, and almost every time he wants to play it I'll do it because he must start somewhere!!! LOL",2223
1570,Firestata,5,"Liked it in school, liked it less now when I know more games.",2223
1571,fisherevans,4,FR: Fruit by the Foot LFR: Plain Air-Popped Popcorn,2223
1572,FissionXuiptz,N/A,[m],2223
1573,FiveHundred,7,"Aug. 12, 2023",2223
1574,Fivo,7,YOU HAVE UNO YOU FUCKING DICK,2223
1575,fizzle,3,The traditional game of Mau-Mau with a few special cards thrown in. Some fun with kids.,2223
1576,Fizznaps,N/A,#GeekSort-Exclude (Stored in Photo & Craft Keeper),2223
1577,flamar,7,fun game,2223
1578,Flamehearted,6,80% Luck but fun,2223
1579,FlamezOfGamez,2,"Uno, two-o, three-o, cuatro, cinco...",2223
1580,FlamezOfGamez,2,Diary of a Wimpy Kid Uno  It’s Uno.,2223
1581,FlaminAwesome,3,"It's simple, there's so many gimmick versions. Get a deck of regular playing cards instead and invent something on your own better.",2223
1582,Flaming_Pancakes,5,2-10 players,2223
1583,Flardio,3,Who can get rid of their cards first? No strategy just trying to empty your hand.,2223
1584,FlashierGarfik,2,Give me a three meaningful reasons to play an Uno again.,2223
1585,flash_baz,5,"Dunno why this became such a huge success. It's just Crazy Eights with a few tweaks, some of them not so good. But everyone knows it, so you need to keep a copy. At least it can be useful as a way of introducing non-gamers to the pastime, in the hope of them graduating up to better and more rewarding games.",2223
1586,Flateric06,6.64,"Ein Klassiker, muss man einfach haben. Die Kinder können hier auch prima mitspielen.",2223
1587,Flemeth,6,"Dans le contexte actuel, un jeu écrasé par des jeux familiaux beaucouuuup plus sympas et rigolos. Mais respect quand même pour cette antiquité (qui se vend encore en masse)",2223
1588,flipmaro,N/A,2-10p,2223
1589,flizon2007,7,already a classic that never fails,2223
1590,FloydWing,6,My girls have discovered the joy of UNO.  I remember playing this on weekends at Grandma's house.  Good Times!,2223
1591,flpii,2,"Randomness, that goes on forever. ",2223
1592,Fluffy_Swaggins,N/A,Games Case,2223
1593,Flummoxa,5,just make sure you all agree on the rules before hand,2223
1594,Fluttershy31,4,"Uno is a great game to get kids into games.  Its fun for them, and its one adults can tolerate.  Just a very good, classic family game.  Always have this on hand in the junk drawer, you just never know!!",2223
1595,fluxinabox,5,"Good times were had long, long ago. The score is inflated by sentimentality.",2223
1596,Flyinacres,6,Have had fun at times playing this with family.,2223
1597,FNH1,5,"Play the card from you hand that would give the opponents the most if you kept it... Thats your only choice really.  A bit of a yawn.  The family love it, I dont know why, but I wont question it, its a game they play!",2223
1598,fofluff,6.5,Local restaurant had Uno at the table...we were thrilled :)!,2223
1599,fogus,3,[2015.02.10]  Makes me want to rip out my own eyeballs sometimes.,2223
1600,Fomalhaut,5,"Would have gotten a lower rating, hadn't it been for nostalgic reasons.  Actually it doesn't have anything you can't find in two regular decks of 52 cards...",2223
1601,Foodgeek,5.75,Uno Coca Cola Polarbears. I have played uno since I was a kid. Great game.,2223
1602,Fookee,N/A,"czech version, Slovakia",2223
1603,Foozle,6,The game is thought of as fun by my daughter. Okay to play as long as it doesn't run long.,2223
1604,fopa,7,Always a fun game for larger groups.,2223
1605,ForceyBGN,N/A,Dan/April,2223
1606,ForeningenLaS,N/A,Ok med alk,2223
1607,ForeverGame,8,"Easy game to pick up, many know it, great introductory game. Oh, and great with young kids: it lets them learn numbers, and you can simply add some rules to make it work for multiplication etc too:  ""When playing a card, you must say how much it times the previous card is, or take a penalty card.""",2223
1608,foreverpd,2,boring!?foolish!,2223
1609,forrestca,6,A light game... definite hate spewed forth to players on your left and right!,2223
1610,fourthallow,5,We play this almost every night with the kids before bed. Cool way to wind them down and prepare for sleep!,2223
1611,Four_Winds,N/A,Donated (2) sets Xmas 2020,2223
1612,FoxdaleGames,N/A,One each in Living Room and Puzzle Room,2223
1613,foxfan,4,UNO H2O is better,2223
1614,fr014371,7.3,Easy play and has lots of fun. You can add some varient rules and make it to a new game. I would like to play this when I need relax and do something except watching TV.,2223
1615,fralim,5,"I can't seriously leave a review of Uno.  Its a light, random kids game.  I play it with my nephew at Thanksgiving.",2223
1616,FranckF57,5,Jeu familliale rapide a jouer.,2223
1617,Frank1Fischer,6,Bought 2 copies just to have enough cards for large groups with funny rules (like 2 players on the draw simultaneously in large rounds),2223
1618,FrankB270577,7,10 Spieler,2223
1619,frankdesuza,7,Classic game.,2223
1620,FranklinT,3,"Just like with every other game I grew up with, I now realize how much more fun can be had with other card games like Coloretto, Bohnanza, etc...  ",2223
1621,FranklinTV,5.344,"Just an average card game - take it or leave it as It's a simplish card game whose main surprise is It's ready availability in shops and supermarkets (9/1/10). UPDATE It is just passable (Rating 5.226 Jan 17) UPDATE: There are simply better card games I would rather play, so part of the Bard Game Collection Event Horizon (Dec 19).  UPDATE: Pub Meeple Ranking Engine Dec 2020 (Rating: 5.344).  UPDATE: Decided to get the Giant Uno version as a bit of a joke for Stevie and his friends (Rating still 5.344, April 2022).  UPDATE: Not sure why I keep it (Oct 2022)",2223
1622,Franky2639,N/A,Jubiläumsedition,2223
1623,FranzK,1,I hate this game so much. I wish my kid didn’t like it.,2223
1624,Frecklefoot,8,"A classic.  Easy to learn, quick to play.  Easy even for younger children.  Great addition to any gamer's arsenal.",2223
1625,Fred West III,2,"I'd rather play 52 Card Pick-Up.  Unfortunately, my wife won't let me sell or trade her crappy games.",2223
1626,fredact,7,"No thinking, way to pass the time with young ones.",2223
1627,Fredoric,N/A,falta 1 carta,2223
1628,freesoul85,4.5,"In Korea, known as One Card. ",2223
1629,frequency270,N/A,P: 2-10; B:4-6,2223
1630,FreshBusiness,5,This game feels like complete luck but at least it's one that most people have heard of and will play. It's quick and provides enough laughs that you don't care how predetermined the winner is. Not a game I would ask to play though.,2223
1631,Fribian,7,Been playing XBOX version of this online now and then and as a chill factor. Have an old version of the card game around here somewhere that I played many years ago before I become a geezer.,2223
1632,Friendless,5,Will only play when invited to. However I played this for hours when I was a teenager.,2223
1633,friendof,N/A,[Lost],2223
1634,Friggen,6,"If it is an option when there isn't much to do, it is alright",2223
1635,Frog,4,"A bit tired. Not necessarily a bad game- it's quick, it's simple, it's accessible. It's just been played to death by just about everyone, and can't hold my interest very long anymore.",2223
1636,Froggy_Steve,8,"Many, many games with family, 5+",2223
1637,frolfergolfer,4,"The standard way to play is pretty dull. I prefer to play ""Dirty UNO"" where players can play out of turn if they are holding the EXACT card on top of the discard pile. Keeps players focused on the game and makes things interesting when players can screw their neighbor by throwing a draw four on top of a draw four to force them to draw 8, or 12...etc. ",2223
1638,Frolickin,5,"The lesser of family card games.  We prefer Phase 10 and Monopoly Deal above this.  Yet, Uno is familiar.  Our daughter tried to institute a stacking rule, which the rest of the family resoundly rejected.",2223
1639,fromeea,N/A,Jovie Dianne LIM: 9,2223
1640,Frontliner,N/A,ns,2223
1641,frostycoo,6.5,Used to play this loads at Uni with about 8 people. Lots of fun. Especially with the house rule of jumping in if you have the same card as the one on the top of the pile.,2223
1642,FrostySpazkins,5,This game is the perfect definition of Mediocre.,2223
1643,frousaud,N/A,Regalo Nesquick,2223
1644,frozenghost,4,Universal card game.,2223
1645,FrozenHoHos,3,I'm not sure why I have this or where it came from.,2223
1646,fslocalking,2,已经送人了....,2223
1647,fsoguero,10,armario,2223
1648,fugle,5,"I'm not much of a casual family game type, but this is one of my favorites. It's fun and easy and great for travels but I quickly grow tired of it. (and I don't like how many house rules exists for it.)",2223
1649,FullRavioli,1,"Ce jeu n'a pour lui que le fait d'être connu. Il est culte car c'est un jeu où l'on peut commencer une partie en quelques secondes avec n'importe qui, et l'imprévisibilité peut nous surprendre. Cependant si vous aimez jouer à des jeux où vos décisions ont la moindre importance, vous n'aimerez pas UNO ^^",2223
1650,funbelievable,N/A,Fun with kids. My favorite is green.,2223
1651,FunckyDude,2,Dated mechanics,2223
1652,fUnK3r,5,Besitzer: JoNa Besitzer: Fam. Eberle,2223
1653,funky-rat,N/A,Deluxe Version,2223
1654,funvill,5,I love this game,2223
1655,Furan,3,"Nope, nope, nope. Not for me.",2223
1656,Furore,10,A must have of all times.,2223
1657,Fury,5,The times I've played this has always been on extended trip and with people of many nations.  It is so easy to play that a common spoken language is not needed.   It passes the time. Fun to put have penalties for those with the worse scores,2223
1658,fusionkast,5,"Still a favorite among the older generations, great for younger players and the H2O version is great for playing in the pool.  For me replaced by Red 7.",2223
1659,FutureSpec,4,It's fine as a braindead time-killer. But there's basically zero strategy and you're waiting for your turn. They should add accessibility in the form of color-blind-friendly symbols.,2223
1660,Fuzzcrumbler,4,"A game for children, or thoroughly drunken adults who can’t focus on anything else. It has the same appeal as repeatedly banging your head on the counter for an hour. But we keep it around for the family or friends who request it. Just irritating.",2223
1661,Fuzzel,6.7,Famlienspiel. ,2223
1662,fuzzydice82,5,"Its a fun game with kids to help learn about taking turns, variable card rules, bluffing, etc. but beyond that, a generic deck of cards is always better than Uno.",2223
1663,FuzzyDM,N/A,2-10,2223
1664,fuzzyfife,6,no comment LOCATION: GREEN/CLEAR,2223
1665,fuzzyfox,4,"I recently played this again and was appalled how bad  and broken this game actually is.  I can't believe we played this constantly in school, hundreds of times.  And we loved it!  Aahhh, to be young and ignorant. :)   ",2223
1666,fuzzyprint,N/A,It's Uno.,2223
1667,Fyrebird,7,"Inherited from mom's downsizing. 1 complete deck, 1 missing 2 blue cards",2223
1668,FyrtelGier,N/A,B,2223
1669,fzerorubigd,4,"My daughter forces me to play this whenever she can. I don't like it, for me, it is boring, I like to play another game to pass the time rather than this. we had a card game in Iran very similar to this that I played a million times when I was at college, it might be the reason that this is booooring. ",2223
1670,G0nzo,6,"Trick-taking, cards.",2223
1671,g0rn,N/A,#tag,2223
1672,GabbyDaddy777,8,"Es un juego muy entretenido, y lo jugaría en todo momento.",2223
1673,gabortoth87,N/A,nem modern,2223
1674,Gabosoto99,10,Good game,2223
1675,Gabrielcottini,5,"Te vas de vacaciones familares y no tenes mucho espacio en el bolso, UNO es una interesante opción. Divertido y fácil. No hay mucho mas que agregar, ya que tampoco pretende algo mas que eso.",2223
1676,GaiaHero,5,Great for when you wanna destroy your little brothers hopes and dreams.,2223
1677,Gaius,5,"It's UNO...  Fun to play when the parents are in town, or about once every five years (whichever comes later).",2223
1678,GalacticOven,6.6,Classic card game I guess. Pretty cool.,2223
1679,galar,7,"Familienkartenspiel leicht zu erlernen, mit ""verschärften Regeln"" auch für erwachsene sehr lustig Kinderspiel ",2223
1680,Galecki,2,"Similar to the ""101"" card game (which is at least playable), but much much worse.",2223
1681,galen,5.5,10,2223
1682,galopp,N/A,without box,2223
1683,Gambiteer,N/A,Tan.,2223
1684,Game Night,N/A,Sheena,2223
1685,Game Snob Mom,7.5,Oldie but a goodie.  My 8 year old loves to play this game.  It was her first intro to some mild strategy.  It gets old for us adults pretty quickly...but part of parenting is playing games you'd rather not sometimes. Glad it's portable. Great for taking on vacations.    ,2223
1686,GamechangerWithHoney,1.5,Please never ask me to play this.,2223
1687,GameGeneral85,N/A,great for playing with friends and family.,2223
1688,gameguru,6,It's classic and it is still fun to this day. Everyone should own a copy.,2223
1689,gamellerbe,N/A,From the Eamon Bloomfield collection- 654,2223
1690,GameMasterX0,4,I will only play this with young children who don't know any better.,2223
1691,GameNighters,3,"Could win this shit on your first round. It kills a main rule of ""Games"" almost every time.",2223
1692,gameplayerjam,6,Still fun if just want to play something quickly without a lot of thought.,2223
1693,Gamer DC,6,This was one of the orginal card games the entire family played and still does play.  I'd say it's a generational game.  If you don't play it too much too often it keeps it fun.,2223
1694,GameraGamer,4,"Childhood favourite, but really not very fun compared to modern games, due to the heavy luck and TAKE THAT design. But nostalgia! Plus I have a couple fun special limited edition decks.",2223
1695,GamerDad74,9,"How can you not rate this game this highly?  It's the classic card game to play with kids and adults alike.  Simply, yet never tiring.  A staple of many vacations.",2223
1696,gamermd,6,2009,2223
1697,Gamernurse,4,Kids.,2223
1698,GamerooMonkey,7,2--10 players,2223
1699,gamershavenLib,N/A,5,2223
1700,gamershavenLib,N/A,5,2223
1701,gamershavenLib,N/A,5,2223
1702,Games CLUB,5,Owned by: Dan,2223
1703,Gameschooling101,6,"This is a simple classic. There is little strategy involved and mostly luck. I think I like it more because of the memories it brings back.   Pros: -easy to learn -quick to start playing  Cons: -very simple game  Education: -color matching and recognition -number matching and recognition  My Overall Opinion: This is a very simple game. It holds a lot of fond memories for me and we are building more memories with it. In terms of game and play, there is not much to it, but we like it.",2223
1704,gamesdaemon,5,I only play this when my kids propose it. ,2223
1705,gamesgrandpa,4,"May 2009 -- Not one of my favorite games, although we wore out one or two decks playing it with our children and grandchildren many years ago.",2223
1706,GamesJames,6.5,Good party game as it allows for quite a few players.  Always a classic and harshly treated on here.  In some ways this game should probably get a 9 but in general for me it is somewhere are the 6-7 mark.    Obviously we always play with stacking effects on pickup cards and miss go cards :D  and never with the ridiculous swap hand rule!!!  ,2223
1707,Gamesmeister99,6.5,I will play it but there are better card games these days.,2223
1708,gamesofthewest,N/A,CT,2223
1709,GamesOnTheBrain,2,There are much better games than this available for young kids.,2223
1710,gamezendo.com,5,Nothing wrong with Uno as a multiplayer card game.  It's great for kids and adults to play together.,2223
1711,Gami2,7,"1983 UNO.  I played this game more than 30 years ago for the first time and thought it was fun.  Recently, I played a modern version of UNO, which a colleague of mine owns, at work.  I may like my old version better..",2223
1712,GamingCube,5,Someone gifted me this game so I won't throw it away but it's not a game I actively seek to play. It is too luck based for me but it's a game that many want to play so is good to keep around just in case.,2223
1713,ganasdejugar,N/A,+6 30min 2-10,2223
1714,gar0u,6,"Used to play this all the time when I was little, esp. with my cousins.  One of the few things I remember about our road trip to Disneyland during Kindergarden spring break.",2223
1715,Garastrix,5.5,silly a game we play because I forgot everythin at home...well I didn´t get bored by the way,2223
1716,Gardener,6,"I used to play this game A LOT when I was a child and play it occasionally nowadays as well and usually have fun playing it, but nostalgia is quite a big part of it, I think.",2223
1717,garfieldcut,3,Totally random fast and easy game. I bought it only for kids,2223
1718,GarfieldKlon,2,19,2223
1719,garg,3,Another concept copied from the card game. Fun but rather for younger ones. Play and forget.,2223
1720,Gargrazz,N/A,Staying home.,2223
1721,Garland_Brew_Werks,N/A,Donated Unknown - date unknown,2223
1722,Garou,3,Well..,2223
1723,garry_rice,5.5,"Boring in its simplest version...Fast UNO or Crazy UNO is much more fun.  However, it is playable by kids.",2223
1724,Garth M,4,FOR KIDS Basic children's card game.,2223
1725,garygarison,2,I have a vague memory playing this once with friends when I was 12. Haven't played it since. Uno is perhaps partly to blame for my disinterest in games as a whole until full adulthood.,2223
1726,garyldibert1,N/A,This is another game that will make you laugh as you play on. You’re dealt 7 cards and the youngest player starts. This game is summaries’ to crazy eights. You have to follow suit or color depending what’s in your hand. There are wild cards and draw four wild cards to use. The wild card you can play anytime so you can change the color to something in your hand. The wild draw four cards can only be used when you don’t have the color or the number that is on top of the deck. The first person to reach 500 points is the loser.  I play this game against my 13 year old niece and her dad. I had 212 point to her 450 points and my brother and niece ganged up on me and I loss. Your odds aren’t good when its 2 against 1. I give this game 5 out of 5 stars.,2223
1727,gascap,1,"There are much better abstract card games out there. This one has too much luck, and gimmicky rules distract from the minimum of strategy that there is. Really annoying to play with family who think they've won or lost for reasons other than dumb luck...  I find playing this game to be mostly frustrating and annoying, and there's almost nothing fun about it for me.",2223
1728,Gawain,N/A,Vriompeis.,2223
1729,gazolyn,6,"sympa, rapide, facile, classique",2223
1730,GazonkFoo,5,Can be fun if you don't feel like thinking hard,2223
1731,GazzaK67,6,Classic card shedding game.,2223
